ciudad_casa,ubicacion,zona,ventaoalquiler,descripespecif,metrajeconstruc,metrajeterreno,precio,unidadterreno,seguridad,piscina/jacuzzi,terraza,baños,parqueo,financiamiento,zon_comercial,areasocial
Guayaquil,Cerca De P. Triangulo,gquil - norte,VENTA,Villa,450.0,810.0,200000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Cerca Policentro,gquil - norte,VENTA,Villa,356.0,630.0,175000.0,m2,0,0.0,0.0,2,0.0,0.0,0.0,0.0
Guayaquil,Cerca P. Triangulo,gquil - norte,VENTA,Villa,400.0,457.0,250000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Frente Al Riocntro,gquil - samborondón,VENTA,Casa,621.0,1453.0,600000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,1ero. De Mayo,gquil - centro,VENTA,Villa,328.0,222.0,180000.0,m2,0,0.0,0.0,3,0.0,0.0,0.0,0.0
Salinas,Inicio De La Ruta Del Sol,península & ruta del sol,VENTA,Villa,250.0,300.0,79500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Circunvalación Sur # 202 - 204,gquil - ceibos & vía a la costa,VENTA,Casa,480.0,500.0,200000.0,m2,1,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 24 Chongón,gquil - ceibos & vía a la costa,VENTA,Casa,120.0,7000.0,90000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 24 Chongón,gquil - ceibos & vía a la costa,VENTA,Casa,400.0,5375.0,130000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Esquinera. Frente A Parque,gquil - ceibos & vía a la costa,VENTA,Casa,720.0,600.0,300000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Manta,Vía Manta-montecristi,otras zonas / costa & galap.,VENTA,Fabrica,1500.0,4000.0,500000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Salinas,Frente A La Playa. Diagonal Al Hotel Barceló,península & ruta del sol,VENTA,Casa,450.0,313.0,375000.0,m2,0,0.0,0.0,3,0.0,0.0,0.0,1.0
Guayaquil,Km 8.5 Entre La Florida Y P. Jacome A 1 Cuadra Calle Principal Manz 328 Solar 8,gquil - norte,VENTA,Casa,136.0,143.0,62000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Manz 222 Villa 25,gquil - norte,VENTA,Casa,308.0,180.0,105000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Machala,Urb. Unioro,otras zonas / costa & galap.,VENTA,Casa,380.0,1200.0,249000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ideal Restaurantes,gquil - norte,VENTA,Casa,400.0,400.0,239000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Riobamba,Junin 19-28 Y Tarqui,otras zonas / sierra & oriente,VENTA,Casa,120.0,300.0,139000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
